Year		AL				AZ	FL	IL	IN	KY	MD	MI	MS	MO	NE	NV	NY	OR	SD	TN	VA
Product	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf
1967		2200						5270	198	89174	621	43092	181309	0	10082		3837		0	0	3818
1968		1802						4482	234	89039	864	43930	171617	0	9329		4632		0	0	3389
1969		2585						3893	171	81304	978	38690	168714	0	7416		4861		0	0	2846
1970		2987						4972	153	77892	813	40038	157020	0	6309		3358		0	0	2805
1971		663				1215	1258	4495	537	72723	214	26450	136536	22	5054		2202		9	497	2619
1972		4610				809	15805	3000	355	63648	244	35253	119697	9	4741		3679		8	205	2787
1973		13161				402	33857	1638	276	62396	298	45696	117761	33	4670		4539		10	185	5101
1974		29357				250	38137	1436	176	71876	133	70464	98995	33	4675		4990		48	393	7096
1975		38921				255	44383	1440	346	60511	93	103901	92500	30	3963		7628		39	612	6723
1976		43600				294	46513	1556	192	66137	75	121631	89914	29	3308		9235		52	532	6937
1977		61267				343	48778	1003	183	60902	82	133226	102155	20	2849		10682		69	855	8220
1978		90012				286	51595	1159	163	70044	88	152184	148482		2882		13900			1482	8492
1979		90695				348	50190	1585	350	59520	28	164860	192376		3208		15500	2	919	1605	8544
1980		111836				357	46421	1574	463	57180	68	164110	215105		2550		15650	5	1198	1241	7812
1981		125624				293	38539	1295	330	61312	56	158293	232870		2713		19000	5	1207	1719	8903
1982		133298				261	26397	1162	233	51924	36	158771	221696		2280		18760	3	2385	2976	6880
1983		125889				240	23356	1030	135	46720	31	144574	201984		2091		21580	3	2130	3950	4346
1984		136427				227	13867	1530	394	61518	60	150201	209268	4	2300		27600	2790	2483	5022	8928
1985		143420				209	11604	1324	367	73126	39	137519	191898	4	1944		35334	4080	3146	4686	15041
1986		145625				185	9766	1887	365	80195	20	132951	210086	4	1403		33684	4600	2463	3464	15427
1987		155143		0	0	185	9132	1371	217	70125	44	153307	224983	4	1261		28478	3800	3662	2707	19520
1988		175054		9	9	179	8407	1338	412	73629	29	151809	237180	4	910		27467	4000	4283	2100	18682
1989		180300		13	13	1455	8773	1477	416	72417	34	162826	199856	4	878		25469	2500	4704	1900	17935
1990		186542		19861	19861	2147	7566	677	399	75333	22	177815	200592	7	793		25398	2815	4782	2067	14774
1991	798236	223876		32603	32603	1280	5898	466	232	78904	29	201413	180772	15	784	53	22778	2741	5804	1856	14906
1992	818233	413614	222009	191605	112311	794	7584	347	174	79690	33	200479	165538	27	1177	30	23521	2580	6963	1770	24733
1993	807040	446321	228298	218023	131508	618	8011	340	192	86966	28	210299	145026	14	2114	21	21197	4003	7057	1660	37840
1994	793261	578863	229483	349380	228878	759	8468	333	107	73081	26	228321	121802	8	2898	16	20476	4200	7264	1990	50259
1995	774978	580125	223527	356598	212895	558	7133	335	249	74754	22	243867	119452	16	2240	13	18400	2520	8374	1820	49818
1996	815754	582301	221233	361068	209013	464	6706	298	360	81435	135	251404	123622	25	1876	11	18134	1743	8965	1690	54290
1997	747154	435088	220674	409091	214414	453	6907	231	526	79547	118	311614	126623	5	1670	9	16193	1382	9795	1510	58249
1998	784209	434470	212470	392320	222000	457	6547	209	615	81869	63	283740	129216	0	1695	9	16704	1263	9252	1420	57263
1999	815512	420535	207863	376435	212673	474	6702	195	855	76770	18	283028	126755	0	1395	8	16127	1555	9340	1230	72189
2000	876145	401336	200255	361289	201081	368	7279	189	899	81545	34	302220	114380	0	1218	7	17757	1412	10680	1150	71545
2001	786947	391981	191119	200862	200862	307	6446	185	1064	81723	32	280700	136740	0	1208	7	27787	1112	11313	2000	71543
2002	830504	386502	184500	202002	202002	301	3785	180	1309	88259	22	280140	147415	0	1193	6	36816	837	10424	2050	76915
2003	895100	370910	176571	194339	194339	443	3474	174	1464	87608	48	242651	161676	0	1466	6	36137	731	11605	1803	143644
2004	917014	338735	173106	165630	165630	331	3525	170	3401	94259	34	265345	176329	0	1499	5	46050	467	11768	2100	85508
2005	918593	317206	164304	152902	152902	233	2954	166	3135	92795	46	266776	189371	0	1201	5	55180	454	11349	2200	88610
2006	4290187	306144	160381	145762	145762	611	2845	170	2921	95320	48	268673	212081	0	1217	5	55980	621	10616	2663	103027
2007	4430466	289618	155167	134451	134451	655	2000	1394	3606	95437	35	270571	272878	0	1560	5	54942	409	11880	3942	112057
2008	4839942	277553	152051	125502	125502	523	2742	1193	4701	114116	28	158794	346465		3083	4	50320	778	12007	4700	128454
2009	5225005	255965	146751	109214	109214	712	290	1443	4927	113300	43	159400	352888		2916	4	44849	821	12927	5478	140738
2010	5864402	240703	139215	101487	101487	183	13938	1702	6802	135330	43	136782	401660		2255	4	35813	1407	12540	5144	147255
2011	6958125	218574	134305	84270	84270	168	17129	2121	9075	124243	34	143826	443351		1980	3	31124	1344	12449	4851	151094
2012	8225321	215710	128312	87398	87398	117	18681	2125	8814	106122	44	129333	452915		1328	4	26424	770	15085	5825	146405
2013	689082	196326	120666	75660	75660	72	18011	2887	7938	94665	32	123622	59272	9	1032	3	23458	770	16205	5400	139382
2014	633853	181054	110226	70827	70827	106	21259	2626	6616	78737	20	114946	54440	9	402	3	20201	950	15307	5294	131885
